,Model,Data,precision,recall,f1-score,support
hawksbill,plain_model,Train,0.43956043956043955,0.5882352941176471,0.5031446540880503,68.0
headphone,plain_model,Train,0.9375,0.5,0.6521739130434783,30.0
hedgehog,plain_model,Train,0.6875,0.5,0.5789473684210527,44.0
helicopter,plain_model,Train,0.8148148148148148,0.3333333333333333,0.4731182795698925,66.0
ibis,plain_model,Train,0.35526315789473684,0.4576271186440678,0.4,59.0
inline_skate,plain_model,Train,0.7368421052631579,0.6086956521739131,0.6666666666666666,23.0
joshua_tree,plain_model,Train,0.6111111111111112,0.5116279069767442,0.5569620253164557,43.0
kangaroo,plain_model,Train,0.38095238095238093,0.5079365079365079,0.43537414965986393,63.0
ketch,plain_model,Train,0.6415094339622641,0.8292682926829268,0.723404255319149,82.0
lamp,plain_model,Train,0.8666666666666667,0.3333333333333333,0.48148148148148145,39.0
laptop,plain_model,Train,1.0,0.3508771929824561,0.5194805194805194,57.0
llama,plain_model,Train,0.8333333333333334,0.18867924528301888,0.3076923076923077,53.0
lobster,plain_model,Train,0.5555555555555556,0.5769230769230769,0.5660377358490566,26.0
lotus,plain_model,Train,0.631578947368421,0.5581395348837209,0.5925925925925926,43.0
mandolin,plain_model,Train,0.5238095238095238,0.4583333333333333,0.4888888888888889,24.0
mayfly,plain_model,Train,1.0,0.034482758620689655,0.06666666666666667,29.0
menorah,plain_model,Train,0.6081081081081081,0.75,0.6716417910447762,60.0
metronome,plain_model,Train,0.9230769230769231,0.5454545454545454,0.6857142857142857,22.0
minaret,plain_model,Train,0.6268656716417911,0.7924528301886793,0.7,53.0
nautilus,plain_model,Train,0.6111111111111112,0.2619047619047619,0.36666666666666664,42.0
octopus,plain_model,Train,0.6153846153846154,0.3333333333333333,0.43243243243243246,24.0
okapi,plain_model,Train,0.5185185185185185,0.56,0.5384615384615384,25.0
pagoda,plain_model,Train,0.875,0.65625,0.75,32.0
panda,plain_model,Train,0.8235294117647058,0.5,0.6222222222222222,28.0
pigeon,plain_model,Train,0.5454545454545454,0.42857142857142855,0.48,28.0
pizza,plain_model,Train,0.37362637362637363,0.8717948717948718,0.5230769230769231,39.0
platypus,plain_model,Train,0.75,0.13043478260869565,0.2222222222222222,23.0
pyramid,plain_model,Train,0.4222222222222222,0.48717948717948717,0.4523809523809524,39.0
revolver,plain_model,Train,0.6181818181818182,0.6415094339622641,0.6296296296296297,53.0
rhino,plain_model,Train,0.5789473684210527,0.25,0.3492063492063492,44.0
rooster,plain_model,Train,0.7333333333333333,0.5641025641025641,0.6376811594202898,39.0
saxophone,plain_model,Train,1.0,0.43478260869565216,0.6060606060606061,23.0
schooner,plain_model,Train,0.9565217391304348,0.4782608695652174,0.6376811594202898,46.0
scissors,plain_model,Train,0.5,0.35714285714285715,0.4166666666666667,28.0
scorpion,plain_model,Train,0.20704845814977973,0.7580645161290323,0.32525951557093424,62.0
sea_horse,plain_model,Train,0.6363636363636364,0.18421052631578946,0.2857142857142857,38.0
snoopy,plain_model,Train,0.3492063492063492,0.9565217391304348,0.5116279069767442,23.0
soccer_ball,plain_model,Train,0.9473684210526315,0.43902439024390244,0.6,41.0
stapler,plain_model,Train,0.9230769230769231,0.4,0.5581395348837209,30.0
starfish,plain_model,Train,0.5897435897435898,0.39655172413793105,0.4742268041237113,58.0
stegosaurus,plain_model,Train,0.8181818181818182,0.4,0.5373134328358209,45.0
stop_sign,plain_model,Train,0.6458333333333334,0.7380952380952381,0.6888888888888889,42.0
strawberry,plain_model,Train,0.34545454545454546,0.6551724137931034,0.4523809523809524,29.0
sunflower,plain_model,Train,0.5581395348837209,0.8727272727272727,0.6808510638297872,55.0
tick,plain_model,Train,0.5428571428571428,0.5428571428571428,0.5428571428571428,35.0
trilobite,plain_model,Train,0.48863636363636365,0.7166666666666667,0.581081081081081,60.0
umbrella,plain_model,Train,0.8076923076923077,0.3888888888888889,0.525,54.0
watch,plain_model,Train,0.6722222222222223,0.7515527950310559,0.7096774193548387,161.0
water_lilly,plain_model,Train,0.8461538461538461,0.4583333333333333,0.5945945945945946,24.0
wheelchair,plain_model,Train,0.5072463768115942,0.7608695652173914,0.6086956521739131,46.0
wild_cat,plain_model,Train,1.0,0.1111111111111111,0.2,27.0
windsor_chair,plain_model,Train,0.7352941176470589,0.6410256410256411,0.684931506849315,39.0
wrench,plain_model,Train,0.22058823529411764,0.5769230769230769,0.3191489361702128,26.0
yin_yang,plain_model,Train,0.813953488372093,0.8536585365853658,0.8333333333333334,41.0
accuracy,plain_model,Train,0.6499259015313683,0.6499259015313683,0.6499259015313683,0.6499259015313683
macro avg,plain_model,Train,0.6490159221202599,0.5134979434732015,0.52895272570979,6073.0
weighted avg,plain_model,Train,0.7000686995253877,0.6499259015313683,0.6394938797277155,6073.0
Faces,frozen_resnet18,Train,0.8685015290519877,0.9372937293729373,0.9015873015873016,303.0
Faces_easy,frozen_resnet18,Train,0.9330985915492958,0.8688524590163934,0.8998302207130731,305.0
Leopards,frozen_resnet18,Train,0.9782608695652174,1.0,0.989010989010989,135.0
Motorbikes,frozen_resnet18,Train,0.9839857651245552,1.0,0.9919282511210762,553.0
accordion,frozen_resnet18,Train,0.9487179487179487,1.0,0.9736842105263158,37.0
airplanes,frozen_resnet18,Train,0.9773913043478261,0.9946902654867257,0.9859649122807017,565.0
anchor,frozen_resnet18,Train,0.7647058823529411,0.43333333333333335,0.5531914893617021,30.0
ant,frozen_resnet18,Train,0.8571428571428571,0.7741935483870968,0.8135593220338984,31.0
barrel,frozen_resnet18,Train,1.0,0.9375,0.967741935483871,32.0
bass,frozen_resnet18,Train,0.9090909090909091,0.7692307692307693,0.8333333333333334,39.0
beaver,frozen_resnet18,Train,0.8571428571428571,0.75,0.8,32.0
binocular,frozen_resnet18,Train,0.9375,0.8333333333333334,0.8823529411764706,18.0
bonsai,frozen_resnet18,Train,0.8584905660377359,0.9680851063829787,0.91,94.0
brain,frozen_resnet18,Train,0.9154929577464789,0.9701492537313433,0.9420289855072463,67.0
brontosaurus,frozen_resnet18,Train,1.0,0.5862068965517241,0.7391304347826086,29.0
buddha,frozen_resnet18,Train,0.9682539682539683,0.953125,0.9606299212598425,64.0
butterfly,frozen_resnet18,Train,0.78125,0.8928571428571429,0.8333333333333334,56.0
camera,frozen_resnet18,Train,0.9302325581395349,0.975609756097561,0.9523809523809523,41.0
cannon,frozen_resnet18,Train,0.8620689655172413,0.78125,0.819672131147541,32.0
car_side,frozen_resnet18,Train,1.0,1.0,1.0,93.0
ceiling_fan,frozen_resnet18,Train,0.96,0.8275862068965517,0.8888888888888888,29.0
cellphone,frozen_resnet18,Train,0.926829268292683,1.0,0.9620253164556962,38.0
chair,frozen_resnet18,Train,0.8536585365853658,0.813953488372093,0.8333333333333334,43.0
chandelier,frozen_resnet18,Train,0.8604651162790697,0.9736842105263158,0.9135802469135802,76.0
cougar_body,frozen_resnet18,Train,0.7941176470588235,0.8181818181818182,0.8059701492537313,33.0
cougar_face,frozen_resnet18,Train,1.0,0.9019607843137255,0.9484536082474226,51.0
crab,frozen_resnet18,Train,0.8333333333333334,0.7272727272727273,0.7766990291262136,55.0
crayfish,frozen_resnet18,Train,0.7619047619047619,0.6956521739130435,0.7272727272727273,46.0
crocodile,frozen_resnet18,Train,0.7567567567567568,0.717948717948718,0.7368421052631579,39.0
crocodile_head,frozen_resnet18,Train,0.6944444444444444,0.7142857142857143,0.704225352112676,35.0
cup,frozen_resnet18,Train,0.9302325581395349,1.0,0.963855421686747,40.0
dalmatian,frozen_resnet18,Train,1.0,1.0,1.0,51.0
dollar_bill,frozen_resnet18,Train,0.9473684210526315,1.0,0.972972972972973,36.0
dolphin,frozen_resnet18,Train,0.9272727272727272,0.9807692307692307,0.9532710280373832,52.0
dragonfly,frozen_resnet18,Train,0.9555555555555556,0.9148936170212766,0.9347826086956522,47.0
electric_guitar,frozen_resnet18,Train,0.7321428571428571,0.8913043478260869,0.803921568627451,46.0
elephant,frozen_resnet18,Train,0.8409090909090909,0.8604651162790697,0.8505747126436781,43.0
emu,frozen_resnet18,Train,0.9459459459459459,0.9722222222222222,0.958904109589041,36.0
